Sample	#Rawreads
F1606-058	265275932
F1604-045	261070644
F1604-007	259086484
F1605-009	246402572
F1604-022	244068892
F1513-133	241233702
F1606-023	240972508
F1604-009	235525868
F1604-042	234010830
F1602-078	227527974
F1602-081	223685062
F1604-032	222800410
F1606-031	220707250
F1602-076	219307782
F1604-008	219098578
F1513-080	216504496
F1602-118	211669718
F1513-039	208907870
F1606-033	208847390
F1602_007	207809428
F1608-022	207630346
F1604-015	207287222
F1605-001	207158718
F1604-036	206198358
F1606-045	203896702
F1513-070	202550206
F1513-130	201195772
F1606_024	200267184
F1606_019	199722812
F1608-024	197543764
F1605-008	197457312
F1513-194	196553430
F1513-140	196392486
F1606-029	195769876
F1513_069	195723852
F1513-179	195683470
F1604-001	195081958
F1602-092	192524892
F1605-012	191483524
F1605-043	190693906
F1605-013	189604718
F1513-059	188927292
F1513-020	188549260
F1605-010	187950800
F1513-002	186100904
F1606-003	185974816
F1606-051	185389302
F1513-200	183122296
F1602_013	182787538
F1606_017	182674318
F1604-044	182149234
F1606-053	181823286
F1606-036	181698326
F1606-059	181670064
F1606-021	180297356
F1602-111	179666062
F1604-014	178892568
F1513-193	178522648
F1604-010	178504834
F1608-025	178202512
F1513-115	178025664
F1513_147	177901474
F1608-028	177636854
F1513-014	177366014
F1513-036	177007504
F1513-060	176592750
F1602-105	176301274
F1513-068	176217946
F1513-120	176196406
F1606-039	176057006
F1513-156	175940964
F1513-105	175560706
F1605-042	175433684
F1606_011	175125938
F1513-093	174494250
F1606-056	174081002
F1602-085	173879634
F1608_008	173742350
F1606_020	173576438
F1513-005	173109578
F1513-015	172417074
F1513-112	172072878
F1608-015	171598252
F1604-031	171361252
F1513-113	171250888
F1513-003	170810942
F1513-111	170758762
F1602-119	170453320
F1513-088	170382636
F1513_189	170093508
F1602-025	169995748
F1513-004	169976922
F1513-208	169579344
F1513_108	169522496
F1606-032	169308820
F1606-005	168577422
F1608_004	168013172
F1602-048	167667846
F1513-037	167495694
F1513-107	167135508
F1602-091	167061194
F1602-077	166969180
F1513-176	166826792
F1513-038	166316924
F1602-080	166245324
F1513-034	166037230
F1605-035	165962122
F1605-040	165941706
F1605-044	165765758
F1513-012	165198150
F1606_052	165060862
F1513_047	164883914
F1513_057	164619922
F1602-009	164430568
F1604_012_1	164387202
F1604-011	164329820
F1513-075	163992310
F1606_040	163934502
F1513-011	163598480
F1602-100	162973526
F1513-092	162446402
F1513_074	162182480
F1513-169	162145826
F1606-013	162061600
F1606-047	162054674
F1513_159	162015594
F1604_012_2	162006052
F1513-087	161831200
F1513-137	161724088
F1513_116	161640242
F1608-027	161506176
F1608-026	161472976
F1602-112	161148744
F1513-132	160939172
F1513-049	160497020
F1606-048	160277992
F1606_002	160217980
F1513-199	159763518
F1513-058	159680474
F1606-041	159665240
F1513_131	159618710
F1606-008	158749272
F1513-095	158647140
F1513-010	158424104
F1513-017	158061420
F1513-157	157921006
F1606-007	157912918
F1606-038	157769184
F1602-079	157114700
F1513-109	157079720
F1513_152	156719510
F1606-022	155868282
F1513-067	155816578
F1513-138	155640116
F1608_023	155195646
F1513-050	155006096
F1602-014	154841634
F1513-040	153466244
F1605-003	153449162
F1513-191	153346962
F1513-008	153285250
F1606-046	153001112
F1606-042	152810430
F1513-114	152271280
F1513-198	152067548
F1602-021	152031672
F1606-055	151995832
F1606_006	151976126
F1513-195	150947614
F1604_012_3	150693886
F1513-016	150592754
F1606_035	150575256
F1602_107	150504554
F1606-034	150471818
F1606-030	149490736
F1606-015	149459314
F1513-077	149186798
F1604_030	149033228
F1513-192	148973462
F1602-117	148704776
F1606-050	148612998
F1513-033	148249182
F1513-207	148213138
F1513-217	148105440
F1513-079	147884188
F1605_032	147828200
F1602-101	147758182
F1513_172	147008184
F1602-068	146964976
F1513-013	146910356
F1513_171	145762796
F1513-122	145750122
F1605-033	145645192
F1608-018	145233860
F1513-190	145175084
F1513-196	145112618
F1513_139	145099832
F1513-009	144591902
F1513-153	144428804
F1602-060	144327106
F1606-028	144234556
F1513-158	144088778
F1606_027	143798726
F1606-049	143792976
F1606_043	143717096
F1605_004	143538274
F1602-042	143130268
F1602-005	143003744
F1606-004	142638306
F1513-121	142420182
F1513-154	141270512
F1602_040	141149824
F1513_110	141047562
F1513_151	140794252
F1513-222	140101472
F1605-031	139621804
F1604_012_4	139081060
F1513-123	138938428
F1513-094	138620724
F1606_018	138543054
F1513_048	138447884
F1602-058	138351666
F1604-017	137471392
F1606-001	136585022
F1513-018	136455756
F1513_170	136409642
F1513-146	136201574
F1602-031	136052432
F1513-085	136009770
F1513-145	135792532
F1605_005_3	135518748
F1605-045	135197132
F1608-021	134938850
F1602-046	134828910
F1513-035	134733806
F1602_022_1	134513126
F1602-062	134219154
F1513-161	133937470
F1608-029	133866806
F1602_033	133387038
F1513-144	133265246
F1513-086	133188194
F1606_016	133079130
F1608_007	132859074
F1513-081	132296866
F1602_008	132242032
F1513-220	131744148
F1602-041	131494908
F1602-093	131387570
F1608_006	131230312
F1606-026	131131596
F1602-023	131089646
F1513-106	130553716
F1608-002	130517566
F1602_061	130418604
F1605_005_2	130359254
F1602_099	130133058
F1606-054	130080520
F1605_005_1	129486036
F1608_010	129434634
F1513-210	129388674
F1606-060	128973956
F1606_014	128919036
F1602_022_4	128797488
F1606-044	128575356
F1602-004	128302958
F1602-113	128235484
F1602_015	128039956
F1513-224	127669080
F1606_025_6	127228212
F1602-086	126104368
F1602-024	125443482
F1606_012	125331060
F1513-209	125217604
F1602_022_3	125169724
F1602_022_2	124993004
F1602_047	124800168
F1513-162	124429760
F1608-009	124428916
F1513_019	124050670
F1602_027	123115834
F1606_025_8	122779676
F1602_006	122138112
F1602-069	122075816
F1513-076	120668732
F1513-178	120229360
F1606_010	119606424
F1608-003	118540718
F1606-057	118267710
F1602_063	117736862
F1602_106	117330094
F1605-041	117186820
F1606-009	116938188
F1602-067	116550028
F1606_025_7	116153514
F1605-036	115262474
F1608_001_1	115088922
F1602_020	114907886
F1513-221	114483748
F1513-001	113575590
F1513-197	111625928
F1605_005_4	111495782
F1604_033	111429222
F1513_155	110487042
F1608_001_2	110283980
F1513-006	109648766
F1513-177	109425572
F1602_087	108975908
F1513-223	106591214
F1513-218	106121352
F1606_025_5	105685240
F1513_160	104784222
F1608_001_4	104521290
F1602_019	103843536
F1606-037	103507618
F1602_026	103243804
F1513-219	102916696
F1602_059	99312498
F1604_039	98078308
F1608_001_3	96545846
F1513-078	42722198
